Reference,Item number,Type,Word,COCA Count,COCA Total Count,COCA Frequency per 1000 words
Kruk & Bergman (2013),160,Target,permission,177,5536628,0.03196891682085197
Kruk & Bergman (2013),161,Input,shelf,156,5536628,0.028175994486174617
Kruk & Bergman (2013),161,Target,shelves,100,5536628,0.018061534927035012
Kruk & Bergman (2013),162,Input,protect,509,5536628,0.0919332127786082
Kruk & Bergman (2013),162,Target,protection,229,5536628,0.041360914982910175
Kruk & Bergman (2013),163,Input,active,252,5536628,0.04551506801612822
Kruk & Bergman (2013),163,Target,activity,373,5536628,0.0673695252778406
Lam (2009),167,Input,growth,192,5536628,0.034678147059907224
Lam (2009),167,Target,grow,775,5536628,0.13997689568452132
Lam (2009),168,Input,density,16,5536628,0.0028898455883256016
Lam (2009),168,Target,dense,48,5536628,0.008669536764976806
Lam (2009),169,Input,description,78,5536628,0.014087997243087309
Lam (2009),169,Target,describe,137,5536628,0.024744302850037963
Lam (2009),170,Input,runner,139,5536628,0.025105533548578664
Lam (2009),170,Target,run,2132,5536628,0.38507192464438644
Lam (2009),171,Input,jacket,297,5536628,0.05364275873329399
Lam (2009),171,Target,jackets,59,5536628,0.010656305606950658
Lam (2009),172,Input,skip,129,5536628,0.023299380055875164
Lam (2009),172,Target,skipped,75,5536628,0.013546151195276258
Lam (2009),173,Input,music,872,5536628,0.1574965845637453
Lam (2009),173,Target,musician,40,5536628,0.007224613970814004
Lam (2009),174,Input,slow,498,5536628,0.08994644393663435
Lam (2009),174,Target,slowest,10,5536628,0.001806153492703501
Lam (2009),175,Input,science,403,5536628,0.07278798575595109
Lam (2009),175,Target,scientist,103,5536628,0.018603380974846064
Lam (2009),176,Input,four,2329,5536628,0.4206531484506454
Lam (2009),176,Target,fourth,320,5536628,0.057796911766512034
Lam (2009),177,Input,dance,888,5536628,0.1603864301520709
Lam (2009),177,Target,dancer,56,5536628,0.010114459559139607
Lam (2009),178,Input,art,510,5536628,0.09211382812787856
Lam (2009),178,Target,artist,170,5536628,0.03070460937595952
Lam (2009),179,Input,cloud,347,5536628,0.06267352619681149
Lam (2009),179,Target,cloudy,36,5536628,0.006502152573732604
