Reference,Item number,Type,Word,Books Count,Books Total Count,Books Frequency per 1000 words
Kruk & Bergman (2013),158,Target,live,39,199877,0.19511999879926153
Kruk & Bergman (2013),159,Input,dead,6,199877,0.030018461353732546
Kruk & Bergman (2013),159,Target,death,3,199877,0.015009230676866273
Kruk & Bergman (2013),160,Input,permit,0,199877,0.0
Kruk & Bergman (2013),160,Target,permission,0,199877,0.0
Kruk & Bergman (2013),161,Input,shelf,14,199877,0.07004307649204261
Kruk & Bergman (2013),161,Target,shelves,3,199877,0.015009230676866273
Kruk & Bergman (2013),162,Input,protect,4,199877,0.020012307569155032
Kruk & Bergman (2013),162,Target,protection,0,199877,0.0
Kruk & Bergman (2013),163,Input,active,1,199877,0.005003076892288758
Kruk & Bergman (2013),163,Target,activity,1,199877,0.005003076892288758
Lam (2009),167,Input,growth,0,199877,0.0
Lam (2009),167,Target,grow,41,199877,0.20512615258383907
Lam (2009),168,Input,density,0,199877,0.0
Lam (2009),168,Target,dense,0,199877,0.0
Lam (2009),169,Input,description,0,199877,0.0
Lam (2009),169,Target,describe,0,199877,0.0
Lam (2009),170,Input,runner,0,199877,0.0
Lam (2009),170,Target,run,76,199877,0.3802338438139456
Lam (2009),171,Input,jacket,9,199877,0.045027692030598816
Lam (2009),171,Target,jackets,2,199877,0.010006153784577516
Lam (2009),172,Input,skip,14,199877,0.07004307649204261
Lam (2009),172,Target,skipped,13,199877,0.06503999959975386
Lam (2009),173,Input,music,17,199877,0.08505230716890888
Lam (2009),173,Target,musician,0,199877,0.0
Lam (2009),174,Input,slow,36,199877,0.18011076812239527
Lam (2009),174,Target,slowest,0,199877,0.0
Lam (2009),175,Input,science,5,199877,0.025015384461443788
Lam (2009),175,Target,scientist,1,199877,0.005003076892288758
Lam (2009),176,Input,four,97,199877,0.4852984585520095
Lam (2009),176,Target,fourth,6,199877,0.030018461353732546
Lam (2009),177,Input,dance,38,199877,0.1901169219069728
Lam (2009),177,Target,dancer,1,199877,0.005003076892288758
Lam (2009),178,Input,art,7,199877,0.035021538246021305
Lam (2009),178,Target,artist,1,199877,0.005003076892288758
Lam (2009),179,Input,cloud,8,199877,0.040024615138310064
Lam (2009),179,Target,cloudy,4,199877,0.020012307569155032
Lam (2009),180,Input,paint,47,199877,0.2351446139375716
Lam (2009),180,Target,painter,2,199877,0.010006153784577516
Lam (2009),181,Input,curl,9,199877,0.045027692030598816
Lam (2009),181,Target,curly,3,199877,0.015009230676866273
Lam (2009),182,Input,calm,8,199877,0.040024615138310064
Lam (2009),182,Target,calmly,2,199877,0.010006153784577516
Lam (2009),183,Input,magic,64,199877,0.3201969211064805
Lam (2009),183,Target,musician,0,199877,0.0
Lam (2009),184,Input,strong,42,199877,0.21012922947612783
Lam (2009),184,Target,strength,1,199877,0.005003076892288758
Lam (2009),185,Input,discuss,0,199877,0.0
Lam (2009),185,Target,discussion,1,199877,0.005003076892288758
Lam (2009),186,Input,appear,3,199877,0.015009230676866273
Lam (2009),186,Target,appearance,0,199877,0.0
Lam (2009),187,Input,remark,0,199877,0.0
Lam (2009),187,Target,remarkable,0,199877,0.0
Lam (2009),188,Input,major,2,199877,0.010006153784577516
Lam (2009),188,Target,majority,0,199877,0.0
Lam (2009),189,Input,humour,0,199877,0.0
Lam (2009),189,Target,humorous,0,199877,0.0
Lam (2009),190,Input,mystery,3,199877,0.015009230676866273
Lam (2009),190,Target,mysterious,3,199877,0.015009230676866273
Deacon et al. (2013),192,Input,plugs,0,199877,0.0
Deacon et al. (2013),192,Target,plugged,1,199877,0.005003076892288758
Deacon et al. (2013),194,Input,chased,11,199877,0.055033845815176334
Deacon et al. (2013),194,Target,chases,3,199877,0.015009230676866273
Deacon et al. (2013),196,Input,slammed,5,199877,0.025015384461443788
Deacon et al. (2013),196,Target,slams,0,199877,0.0
Deacon et al. (2013),198,Input,feeds,4,199877,0.020012307569155032
Deacon et al. (2013),198,Target,fed,17,199877,0.08505230716890888
Deacon et al. (2013),200,Input,crept,10,199877,0.050030768922887575
Deacon et al. (2013),200,Target,creeps,3,199877,0.015009230676866273
Deacon et al. (2013),202,Input,sells,1,199877,0.005003076892288758
Deacon et al. (2013),202,Target,sold,10,199877,0.050030768922887575
Deacon et al. (2013),204,Input,ran,111,199877,0.5553415350440521
Deacon et al. (2013),204,Target,runs,12,199877,0.06003692270746509
Deacon et al. (2013),206,Input,opens,11,199877,0.055033845815176334
Deacon et al. (2013),206,Target,opened,74,199877,0.37022769002936806
Deacon et al. (2013),208,Input,strong,42,199877,0.21012922947612783
Deacon et al. (2013),208,Target,strongest,5,199877,0.025015384461443788
Deacon et al. (2013),210,Input,chill,2,199877,0.010006153784577516
