Reference,Item number,Type,Word,Books Count,Books Total Count,Books Frequency per 1000 words,COCA Count,COCA Total Count,COCA Frequency per 1000 words,Movies Count,Movies Total Count,Movies Frequency per 1000 words,CHILDES Count,CHILDES Total Count,CHILDES Frequency per 1000 words,Average Frequency per 1000 Words
Carlisle (2000),58,Target,wide,39,199877,0.1951199987992615,787,5536628,0.1421442798757655,1,66112,0.0151258470474346,175,3826525,0.04573340041,0.0995308815331154
Carlisle (2000),59,Input,density,0,199877,0.0,16,5536628,0.0028898455883256,1,66112,0.0151258470474346,0,3826525,0.0,0.0045039231589400494
Carlisle (2000),59,Target,dense,0,199877,0.0,48,5536628,0.0086695367649768,0,66112,0.0,4,3826525,0.001045334866,0.0024287179077441996
Carlisle (2000),60,Input,discussion,1,199877,0.0050030768922887,131,5536628,0.0236606107544158,2,66112,0.0302516940948693,13,3826525,0.003397338316,0.015578180014393449
Carlisle (2000),60,Target,discuss,0,199877,0.0,197,5536628,0.0355812238062589,1,66112,0.0151258470474346,12,3826525,0.003136004599,0.013460768863173374
Carlisle (2000),61,Input,famous,5,199877,0.0250153844614437,474,5536628,0.0856116755541459,4,66112,0.0605033881897386,16,3826525,0.004181339466,0.043827946917832046
Carlisle (2000),61,Target,fame,2,199877,0.0100061537845775,88,5536628,0.0158941507357908,0,66112,0.0,6,3826525,0.0015680023,0.006867076705092075
Carlisle (2000),62,Input,description,0,199877,0.0,78,5536628,0.0140879972430873,0,66112,0.0,2,3826525,0.0005226674332,0.003652666169071825
Carlisle (2000),62,Target,describe,0,199877,0.0,137,5536628,0.0247443028500379,1,66112,0.0151258470474346,21,3826525,0.005488008049,0.011339539486618125
Carlisle (2000),63,Input,fifth,2,199877,0.0100061537845775,255,5536628,0.0460569140639392,1,66112,0.0151258470474346,60,3826525,0.015680023,0.021717234473987823
Carlisle (2000),63,Target,five,79,199877,0.3952430744908118,1920,5536628,0.3467814705990721,39,66112,0.5899080348499516,1965,3826525,0.5135207532,0.4613633332849588
Carlisle (2000),64,Input,election,0,199877,0.0,69,5536628,0.0124624590996541,1,66112,0.0151258470474346,7,3826525,0.001829336016,0.007354410540772175
Carlisle (2000),64,Target,elect,0,199877,0.0,20,5536628,0.003612306985407,0,66112,0.0,1,3826525,0.0002613337166,0.00096841017550175
Carlisle (2000),65,Input,strength,1,199877,0.0050030768922887,439,5536628,0.0792901383296837,11,66112,0.1663843175217812,11,3826525,0.002874670883,0.06338805090668839
Carlisle (2000),65,Target,strong,42,199877,0.2101292294761278,922,5536628,0.1665273520272628,12,66112,0.1815101645692158,259,3826525,0.06768543261,0.1564630446706516
Carlisle (2000),66,Input,decision,1,199877,0.0050030768922887,323,5536628,0.058338757814323,3,66112,0.0453775411423039,20,3826525,0.005226674332,0.0284865125452289
Carlisle (2000),66,Target,decide,8,199877,0.04002461513831,391,5536628,0.0706206015647069,2,66112,0.0302516940948693,130,3826525,0.03397338316,0.04371757348947155
Carlisle (2000),67,Input,popularity,0,199877,0.0,31,5536628,0.0055990758273808,1,66112,0.0151258470474346,0,3826525,0.0,0.00518123071870385
